GPU	Manufacter	Model	Core Clock	Mem Clock	Operating system	Driver Version	Mining Software	Power Consumption	Currency	Algorythm	Speed	Revenue / Day	Revenue / Month	Hashrate / Watt	Revenue / Month (electricity deducted)
AMD	MSI	MSI R7 370 4GB	1070	1425	Windows 10		Claymore	110	Ethereum	Ethash	17000000	$ 2.13	$ 63.75	0.15	$ 53.93
AMD	GIGABYTE	Gigabyte RX 560 4 GB GAMING OC	1150	2240	Windows 10	17.11.2	Claymore dual miner 10.2	65	Ethereum	Ethash	16300000	$ 2.04	$ 61.13	0.25	$ 55.33
AMD	MSI	R9 270X	1000	1400	Windows 10		Claymore	180	Ethereum	Ethash	16000000	$ 2.00	$ 60.00		$ 43.93
AMD	AMD	gpuShack HD 7950	1100					140	Ethereum	Ethash	13000000	$ 1.63	$ 48.75		$ 36.25
AMD	GIGABYTE	RX 560	1175	1750	Windows 10			75	Ethereum	Ethash	11000000	$ 1.38	$ 41.25	0.15	$ 34.55
AMD	GIGABYTE	Radeon RX 460 4GB	1200	1750	Windows 10	16.8.1	Claymore	75	Ethereum	Ethash	11000000	$ 1.38	$ 41.25	0.15	$ 34.55
AMD	AMD	AMD 560 4 GB OC			Windows 10		Ethminer 0.9.41 genoil 1.1.6 pre	80	Ethereum	Ethash	8370000	$ 1.05	$ 31.39	0.10	$ 24.25
AMD	GIGABYTE	RX 470	1230	1650	Windows 7 x64	CrimsonRelive 17.30.1041	Claymore v9.7	150	Ethereum Classic	Ethash	21900000	$ 0.94	$ 28.12	0.15	$ 14.73
AMD	AMD	Ryzen 7 1800x	4	2866	Windows 10 pro		xmrig 5.1.1 (randomx)	95	Monero	Cryptonight	5100	$ 0.42	$ 12.56		$ 4.08
AMD	SAPPHIRE	RX 470 nitro -60mV	1150	1950	Windows 10			69	Ubiq	Ethash	28500000	$ 0.23	$ 6.81	0.41	$ 0.65
AMD	SAPPHIRE	Amd Vega 64 8Gb +30power limit	1200	1100	Bitmain Firmware	Crimson BETA	Claymore	350	Auroracoin	Scrypt	44000000	$ 0.23	$ 6.77	0.13	$ -24.48
AMD	SAPPHIRE	Nitro+ RX VEGA 56 8GB HBM2	1590	945	Windows 10		Claymore	275	Monero	Cryptonight	1915	$ 0.16	$ 4.71		$ -19.84
AMD	SAPPHIRE	Nitro+ RX VEGA 56 8GB HBM2	1590	945	Windows 10		CAST XMR-Miner	245	Monero	Cryptonight	1915	$ 0.16	$ 4.71		$ -17.16
AMD	SAPPHIRE	RX VEGA 56	2016	1600	Windows 10	AMD beta blockhain (17.30.1029)	XMR-STAK-AMD-NOTLS	180	Monero	Cryptonight	1900	$ 0.16	$ 4.68		$ -11.39
AMD	MSI	RADEON RX VEGA 56	950		Windows 10		XMR-STAK-AMD	210	Monero	Cryptonight	1820	$ 0.15	$ 4.48		$ -14.27
AMD	SAPPHIRE	Nitro+ RX VEGA 56 8GB HBM2	1590	800	Windows 10		CAST XMR-Miner	245	Monero	Cryptonight	1605	$ 0.13	$ 3.95		$ -17.92
AMD	AMD	RX VEGA 56 @ 64 BIOS			Windows 10		XMR-STAK-AMD	190	Monero	Cryptonight	1500	$ 0.12	$ 3.69		$ -13.27
AMD	AMD	RX Vega 56 8 GB HBM2 MEMORY					XMR-STAK-AMD	300	Monero	Cryptonight	1500	$ 0.12	$ 3.69		$ -23.09
AMD	AMD	RX VEGA 64 - SINGLE CARD STOCK CORE		1100	Windows 10		XMR-STAK-AMD	290	Monero	Cryptonight	1293	$ 0.11	$ 3.18		$ -22.71
AMD	MSI	VEGA 64 8GB	1702	1100	Windows 10		XMR-STAK-AMD	241	Monero	Cryptonight	1270	$ 0.10	$ 3.13		$ -18.39
AMD	ASUS	RX 570 ASUS STRIX OC 4GB					CLAYMORE 9.7	138	Monero	Cryptonight	1149	$ 0.09	$ 2.83		$ -9.49
AMD	ASUS	HD7970			Windows 10		CLAYMORE 9.7	253	Monero	Cryptonight	1120	$ 0.09	$ 2.76		$ -19.83
AMD	AMD	RX VEGA 56 (INTENSITY:1660, WORKSIZE:12, MEM:930 MHZ, GPUFREQ: -3)			Windows 10		XMR-STAK-AMD	220	Monero	Cryptonight	1091	$ 0.09	$ 2.69		$ -16.95
AMD	AMD	VEGA 56 HIS(-33% POWER, 945MHZ HBM2)			Windows 10		XMR-STAK-AMD	102	Monero	Cryptonight	1035	$ 0.08	$ 2.55		$ -6.56
AMD	AMD	RX VEGA 56 HIS			Windows 10		SGMINER	150	Monero	Cryptonight	945	$ 0.08	$ 2.33		$ -11.06
AMD	MSI	RX 570 armor 8gb 0c	1150	2250	Ethos		claymore v11.3	105	Monero	Cryptonight	890	$ 0.07	$ 2.19		$ -7.18
AMD	INTEL	2 X E5-2660 V3 2.60 GHZ 10 CORES 25MB CACHE			Windows Server 2008 R2		CLAYMORE CRYPTONOTE CPU MINER 3.5	105	Monero	Cryptonight	847	$ 0.07	$ 2.09		$ -7.28
AMD	INTEL	DUAL XEON E5-2670			Ubuntu 16.04		XMRIG	230	Monero	Cryptonight	850	$ 0.07	$ 2.09		$ -18.44
AMD	MSI	R9 390 OC	1155	1500	Windows 10		Claymore	258	Monero	Cryptonight	832	$ 0.07	$ 2.05		$ -20.98
AMD	INTEL	2X INTEL XEON E5-2660 V1 8-CORE @ 2.2 GHZ, 20 MB L3 CACHE			Debian 8		XMR-STAK-CPU 1.3.0	95	Monero	Cryptonight	825	$ 0.07	$ 2.03		$ -6.45
AMD	MSI	R9 390	1040	1500	Windows 10		Claymore	258	Monero	Cryptonight	805	$ 0.07	$ 1.98		$ -21.05
AMD	SAPPHIRE	Nitro+ RX VEGA 56 8GB HBM2 UNSTABLE	1590	945	Windows 10		Claymore v12.6	255	Zcash	Equihash	480	$ 0.06	$ 1.92		$ -20.85
AMD	SAPPHIRE	PULSE RX 570 4 GB DDR5			Ubuntu 17.04		XMR-STAK-AMD on simplemine.net	150	Monero	Cryptonight	773	$ 0.06	$ 1.90		$ -11.49
AMD	MSI	RX VEGA 56 8GB	1615	1000	Windows 10	Crimson 4.4.0 Beta 19	Claymore	300	Zcash	Equihash	470	$ 0.06	$ 1.88		$ -24.90
AMD	SAPPHIRE	Nitro+ RX VEGA 56 8GB HBM2	1590	800	Windows 10		Claymore v12.6	220	Zcash	Equihash	464	$ 0.06	$ 1.85		$ -17.79
